"id","name","screen_name","location","description","url","followers_count","friends_count","listed_count","created_at","favourites_count","time_zone","geo_enabled","statuses_count","lang"
"2401221331","ARPAL_rischiometeo","ARPAL_rischiome","","messaggi di rischio meteo del CFMI-PC di Arpal. ATTENZIONE: i tweet saranno inviati quando necessario, anche di notte -  valutare la loro ricezione telefonica","http://www.allertaliguria.gov.it","2032","5","45","Fri Mar 21 08:28:50 +0000 2014","1","Amsterdam","FALSE","709","it"
"1899980604","ARPA FVG - aria","arpafvg_aria","via Cairoli 14, Palmanova (UD)","Quale aria per il Friuli Venezia Giulia (e un po' oltre)","http://www.arpa.fvg.it","315","30","16","Tue Sep 24 10:34:30 +0000 2013","3","Rome","FALSE","346","it"
"1485632245","ARPA Sicilia","ARPASicilia","Palermo, Sicilia","Twitter feed  Ufficiale dell'Agenzia Regionale per la Protezione dell'Ambiente","http://www.arpa.sicilia.it","1802","1651","35","Wed Jun 05 17:52:26 +0000 2013","91","Athens","FALSE","2796","it"
"1479188036","Arpacal","ArpaCalabria","Catanzaro","Agenzia Regionale per la Protezione dell' Ambiente della Calabria","http://www.arpacal.it","419","25","13","Mon Jun 03 08:25:05 +0000 2013","0","Rome","FALSE","596","it"
"1055333070","ARPA Lombardia","arpalombardia","Lombardia, Italia","Canale ufficiale di #ARPALombardia
Agenzia Regionale per la Protezione dell'Ambiente della #Lombardia","http://www.arpalombardia.it","2457","424","75","Wed Jan 02 15:13:03 +0000 2013","86","Rome","TRUE","940","it"
"636826547","Arpa Emilia-Romagna","ArpaER","","Pagina twitter ufficiale dell'Agenzia regionale per la prevenzione e l´ambiente dell´Emilia-Romagna.","http://www.arpa.emr.it","3606","451","95","Mon Jul 16 09:11:21 +0000 2012","34","Rome","FALSE","2792","it"
"461049017","ARPAT","arpatoscana","Toscana, Italia","Canale ufficiale di #ARPAT - Agenzia regionale per la protezione ambientale della #Toscana. Diffondiamo informazioni, news, immagini sull'#ambiente toscano","http://www.arpat.toscana.it","3609","1282","114","Wed Jan 11 11:48:06 +0000 2012","1230","Rome","TRUE","12631","it"
"407883178","Arpa Piemonte","ArpaPiemonte","","Siamo l'Agenzia Regionale per la Protezione Ambientale del #Piemonte","http://www.arpa.piemonte.it","3428","126","95","Tue Nov 08 17:47:01 +0000 2011","1","Rome","FALSE","2208","it"
"313848012","ARPAL_pollini","ARPAL_pollini","Liguria - Italia","Bollettino pollinico settimanale dell'Ag. Protezione Ambiente Ligure; versione completa http://t.co/E4TYwxZNsr","http://www.arpal.gov.it","347","12","4","Thu Jun 09 09:31:51 +0000 2011","0","Rome","FALSE","186","it"
"288736701","ARPAL","ARPAL_meteomare","Italia - Genova","il Centro Meteo Idrologico è un settore di ARPAL, Agenzia regionale per la protezione dell'ambiente ligure. Bollettini meteo completi su http://t.co/DKBGOHqA","http://www.arpal.gov.it","2411","43","61","Wed Apr 27 11:27:28 +0000 2011","0","Rome","FALSE","1990","it"
"126272846","ufficio stampa ARPAV","arpavstampa","Padova","Agenzia Regionale per la Prevenzione e Protezione Ambientale del Veneto","http://www.arpa.veneto.it","2298","184","57","Thu Mar 25 09:41:38 +0000 2010","1","Rome","TRUE","1387","it"
